Base,Source,Question,Base_Answer,Expected_Answer
dog is blue. dog is cold. dog is green. dog is kind. dog is nice. dog need mouse. mouse eat dog. mouse is blue. mouse is cold. mouse is green. mouse is kind. mouse is nice. mouse like dog. mouse need dog. if someone like dog then dog eat mouse. if someone is nice and they like dog then they like mouse. cold people are nice. if someone like mouse then they are nice. if someone is nice and they need mouse then mouse is blue. if someone like mouse and they are green then mouse eat dog. if someone is blue and they like dog then they like mouse,The mouse eats the rabbit. The mouse is cold. The mouse is kind. The mouse is red. The mouse is rough. The mouse is round. The mouse sees the rabbit. The mouse visits the rabbit. The rabbit eats the mouse. The rabbit is kind. The rabbit is red. The rabbit is rough. The rabbit is round. The rabbit sees the mouse. The rabbit visits the mouse. if something visits the mouse and the mouse is kind then the mouse eats the rabbit. if something is round then it eats the mouse. if the rabbit sees the mouse and the mouse sees the rabbit then the mouse eats the rabbit. if something eats the mouse then the mouse visits the rabbit. if something sees the mouse then it visits the rabbit. if something sees the mouse then the mouse visits the rabbit. if something is kind then it eats the mouse. All round things are kind.,Dog eat mouse,True,Unknown
dog is blue. dog is cold. dog is green. dog is kind. dog is nice. dog need mouse. mouse eat dog. mouse is blue. mouse is cold. mouse is green. mouse is kind. mouse is nice. mouse like dog. mouse need dog. if someone like dog then dog eat mouse. if someone is nice and they like dog then they like mouse. cold people are nice. if someone like mouse then they are nice. if someone is nice and they need mouse then mouse is blue. if someone like mouse and they are green then mouse eat dog. if someone is blue and they like dog then they like mouse,The mouse eats the rabbit. The mouse is cold. The mouse is kind. The mouse is red. The mouse is rough. The mouse is round. The mouse sees the rabbit. The mouse visits the rabbit. The rabbit eats the mouse. The rabbit is kind. The rabbit is red. The rabbit is rough. The rabbit is round. The rabbit sees the mouse. The rabbit visits the mouse. if something visits the mouse and the mouse is kind then the mouse eats the rabbit. if something is round then it eats the mouse. if the rabbit sees the mouse and the mouse sees the rabbit then the mouse eats the rabbit. if something eats the mouse then the mouse visits the rabbit. if something sees the mouse then it visits the rabbit. if something sees the mouse then the mouse visits the rabbit. if something is kind then it eats the mouse. All round things are kind.,Mouse visit rabbit,Unknown,True
dog is blue. rabbit like squirrel. squirrel like tiger. tiger like squirrel. if something like squirrel then squirrel chase rabbit,Anne is young. Erin is quiet. Gary is young. if someone is quiet then they are young. if someone is smart then they are cold. All cold people are kind.,Squirrel chase rabbit,True,Unknown
dog is blue. rabbit like squirrel. squirrel like tiger. tiger like squirrel. if something like squirrel then squirrel chase rabbit,Anne is young. Erin is quiet. Gary is young. if someone is quiet then they are young. if someone is smart then they are cold. All cold people are kind.,rabbit are young,Unknown,True
lion chase rabbit. lion eat rabbit. lion is young. rabbit chase lion. rabbit is blue. rabbit is kind. rabbit is rough. if something chase lion then it eat lion. if something eat lion and it chase lion then it is blue. if something is young and it chase lion then lion chase rabbit. if something chase rabbit then it chase lion,The cat needs the cow. The cow does not need the cat. The cow visits the cat. if something visits the cat then the cat is not big. if something visits the cat and it likes the cat then the cat does not like the cow. if something likes the cat and the cat is big then the cat likes the cow. if something is young then it needs the cow. if something needs the cow then it does not like the cat. if something needs the cow then it does not like the cat. if something needs the cow and it is not big then it needs the cat. if something needs the cat then it visits the cow.,rabbit eat lion,True,Unknown
lion chase rabbit. lion eat rabbit. lion is young. rabbit chase lion. rabbit is blue. rabbit is kind. rabbit is rough. if something chase lion then it eat lion. if something eat lion and it chase lion then it is blue. if something is young and it chase lion then lion chase rabbit. if something chase rabbit then it chase lion,The cat needs the cow. The cow does not need the cat. The cow visits the cat. if something visits the cat then the cat is not big. if something visits the cat and it likes the cat then the cat does not like the cow. if something likes the cat and the cat is big then the cat likes the cow. if something is young then it needs the cow. if something needs the cow then it does not like the cat. if something needs the cow then it does not like the cat. if something needs the cow and it is not big then it needs the cat. if something needs the cat then it visits the cow.,Cat is big,Unknown,True
cow eat mouse. cow is big. cow is nice. cow is young. cow need lion. cow need mouse. cow see mouse. lion eat mouse. lion is rough. mouse is big. mouse need squirrel. squirrel eat lion. squirrel eat mouse. squirrel is nice. squirrel is red. if something see mouse then it see lion. if cow see lion then lion is big. if something see lion then lion see mouse,The bear does not eat the dog. The bear sees the dog. The dog chases the bear. The dog eats the bear. The dog is not nice. The dog is young. The dog sees the bear. if something chases the dog then it is blue. All red things are not blue. if something eats the dog and it is nice then it is not green. if the bear chases the dog and the dog does not eat the bear then the dog is blue. if the dog eats the bear then the bear chases the dog. All blue things are young.,cow see lion,True,Unknown
cow eat mouse. cow is big. cow is nice. cow is young. cow need lion. cow need mouse. cow see mouse. lion eat mouse. lion is rough. mouse is big. mouse need squirrel. squirrel eat lion. squirrel eat mouse. squirrel is nice. squirrel is red. if something see mouse then it see lion. if cow see lion then lion is big. if something see lion then lion see mouse,The bear does not eat the dog. The bear sees the dog. The dog chases the bear. The dog eats the bear. The dog is not nice. The dog is young. The dog sees the bear. if something chases the dog then it is blue. All red things are not blue. if something eats the dog and it is nice then it is not green. if the bear chases the dog and the dog does not eat the bear then the dog is blue. if the dog eats the bear then the bear chases the dog. All blue things are young.,cow is blue,Unknown,True
cow chase dog. cow chase rabbit. cow is cold. cow like rabbit. cow need dog. dog chase rabbit. dog is not red. dog is young. dog like cow. dog like rabbit. dog need cow. dog need rabbit. rabbit chase cow. rabbit is kind. rabbit is not young. if something like rabbit then rabbit like dog. if something need cow then cow is not kind. if something is round then it need rabbit. if something need dog then it chase rabbit. if something chase rabbit and it is round then it need cow. if rabbit does not need cow then rabbit is kind,The dog eats the tiger. The dog is big. The dog is cold. The dog is round. The dog is young. The dog needs the tiger. The dog visits the tiger. The tiger eats the dog. The tiger is big. The tiger is cold. The tiger is nice. The tiger is round. The tiger is young. The tiger needs the dog. The tiger visits the dog. if the dog visits the tiger then the dog eats the tiger. if someone is cold then they need the tiger. if someone visits the dog and they are cold then they are nice. if someone is young then they visit the dog. if someone needs the dog then they visit the dog. if someone needs the tiger then the tiger visits the dog. if someone eats the tiger then they are round. if someone needs the tiger then the tiger eats the dog.,Rabbit like dog,True,Unknown
cow chase dog. cow chase rabbit. cow is cold. cow like rabbit. cow need dog. dog chase rabbit. dog is not red. dog is young. dog like cow. dog like rabbit. dog need cow. dog need rabbit. rabbit chase cow. rabbit is kind. rabbit is not young. if something like rabbit then rabbit like dog. if something need cow then cow is not kind. if something is round then it need rabbit. if something need dog then it chase rabbit. if something chase rabbit and it is round then it need cow. if rabbit does not need cow then rabbit is kind,The dog eats the tiger. The dog is big. The dog is cold. The dog is round. The dog is young. The dog needs the tiger. The dog visits the tiger. The tiger eats the dog. The tiger is big. The tiger is cold. The tiger is nice. The tiger is round. The tiger is young. The tiger needs the dog. The tiger visits the dog. if the dog visits the tiger then the dog eats the tiger. if someone is cold then they need the tiger. if someone visits the dog and they are cold then they are nice. if someone is young then they visit the dog. if someone needs the dog then they visit the dog. if someone needs the tiger then the tiger visits the dog. if someone eats the tiger then they are round. if someone needs the tiger then the tiger eats the dog.,Dog eat tiger,Unknown,True
bear is rough. bear like lion. bear see tiger. lion is rough. mouse is green. mouse is young. tiger visit bear. if something is young then it like bear. if something see mouse then mouse see lion. if something like bear then bear see mouse. if bear is rough and bear is young then bear like tiger. if something visit lion and it visit bear then bear see lion. if lion is red then lion is cold.,"Anne is kind. Anne is nice. Anne is rough. Erin is green. Erin is kind. Erin is rough. Erin is young. Gary is green. Gary is kind. Gary is nice. Gary is quiet. Gary is rough. Gary is round. Gary is young. Harry is kind. Harry is quiet. Round people are kind. if someone is rough and round then they are green. All quiet, rough people are green. if someone is nice then they are round. Young people are rough. All kind people are nice. if someone is round then they are young.",mouse like bear,True,Unknown
bear is rough. bear like lion. bear see tiger. lion is rough. mouse is green. mouse is young. tiger visit bear. if something is young then it like bear. if something see mouse then mouse see lion. if something like bear then bear see mouse. if bear is rough and bear is young then bear like tiger. if something visit lion and it visit bear then bear see lion. if lion is red then lion is cold.,"Anne is kind. Anne is nice. Anne is rough. Erin is green. Erin is kind. Erin is rough. Erin is young. Gary is green. Gary is kind. Gary is nice. Gary is quiet. Gary is rough. Gary is round. Gary is young. Harry is kind. Harry is quiet. Round people are kind. if someone is rough and round then they are green. All quiet, rough people are green. if someone is nice then they are round. Young people are rough. All kind people are nice. if someone is round then they are young.",mouse are round,Unknown,True
cat is big. cat is kind. cat visit mouse. mouse eat cat. mouse is not red. mouse like cat. if someone like cat then cat is nice. if someone like cat and they are not red then they eat cat. if mouse like cat and cat does not eat mouse then mouse visit cat. if someone is nice then they like mouse. if someone is kind and they eat cat then they like cat. if mouse like cat and cat like mouse then mouse is not kind,The bear eats the tiger. The bear is big. The bear is rough. The bear is round. The bear needs the tiger. The mouse is cold. The mouse visits the bear. The tiger eats the bear. The tiger eats the mouse. The tiger is cold. The tiger is young. The tiger needs the mouse. if something eats the bear then the bear eats the mouse. if something visits the bear then the bear is big. if something eats the bear then it is big. All big things are round. if something needs the mouse then it is round. if something eats the bear and the bear needs the tiger then it needs the tiger.,Cat is nice,True,Unknown
cat is big. cat is kind. cat visit mouse. mouse eat cat. mouse is not red. mouse like cat. if someone like cat then cat is nice. if someone like cat and they are not red then they eat cat. if mouse like cat and cat does not eat mouse then mouse visit cat. if someone is nice then they like mouse. if someone is kind and they eat cat then they like cat. if mouse like cat and cat like mouse then mouse is not kind,The bear eats the tiger. The bear is big. The bear is rough. The bear is round. The bear needs the tiger. The mouse is cold. The mouse visits the bear. The tiger eats the bear. The tiger eats the mouse. The tiger is cold. The tiger is young. The tiger needs the mouse. if something eats the bear then the bear eats the mouse. if something visits the bear then the bear is big. if something eats the bear then it is big. All big things are round. if something needs the mouse then it is round. if something eats the bear and the bear needs the tiger then it needs the tiger.,Bear eat mouse,Unknown,True
"dave is blue. dave is cold. dave is kind. dave is nice. dave is rough. dave is white. erin is blue. erin is cold. erin is kind. erin is nice. erin is rough. erin is white. if something is rough then it is big. all cold, nice things are white","Dave is red. Fiona is not rough. Harry is blue. if someone is cold then they are nice. if someone is smart then they are not nice. All red, rough people are not nice. if someone is red then they are cold. if someone is white then they are blue. if Harry is rough and Harry is not smart then Harry is red.",dave is big,True,Unknown
"dave is blue. dave is cold. dave is kind. dave is nice. dave is rough. dave is white. erin is blue. erin is cold. erin is kind. erin is nice. erin is rough. erin is white. if something is rough then it is big. all cold, nice things are white","Dave is red. Fiona is not rough. Harry is blue. if someone is cold then they are nice. if someone is smart then they are not nice. All red, rough people are not nice. if someone is red then they are cold. if someone is white then they are blue. if Harry is rough and Harry is not smart then Harry is red.",dave is nice,Unknown,True
lion eat rabbit. lion is blue. lion is cold. lion is kind. lion is not rough. lion is round. lion need rabbit. lion see rabbit. rabbit eat lion. rabbit is not blue. rabbit is cold. rabbit is kind. rabbit is rough. rabbit is round. rabbit need lion. if someone is round then they see lion. if someone is cold and they do not need rabbit then rabbit is cold. if someone is rough and they do not see rabbit then rabbit eat lion. if rabbit is not cold then rabbit eat lion. if rabbit eat lion then rabbit need lion. if rabbit eat lion then rabbit need lion. if someone eat rabbit then rabbit need lion,The lion chases the mouse. The lion chases the rabbit. The lion is nice. The mouse is nice. The mouse is young. The mouse visits the lion. The rabbit chases the mouse. The rabbit is red. The rabbit visits the squirrel. The squirrel is rough. The squirrel likes the lion. The squirrel likes the mouse. The squirrel likes the rabbit. The squirrel visits the lion. The squirrel visits the mouse. The squirrel visits the rabbit. if someone is nice then they visit the mouse. if the rabbit visits the lion then the rabbit chases the mouse. if someone is big and they visit the squirrel then they are red. if someone is red and they visit the lion then they like the rabbit. if the rabbit likes the lion and the rabbit is nice then the lion is red. if someone likes the lion and the lion likes the rabbit then the rabbit likes the mouse. if someone likes the lion then they like the squirrel. if someone visits the rabbit then the rabbit chases the mouse.,lion see lion,True,Unknown
lion eat rabbit. lion is blue. lion is cold. lion is kind. lion is not rough. lion is round. lion need rabbit. lion see rabbit. rabbit eat lion. rabbit is not blue. rabbit is cold. rabbit is kind. rabbit is rough. rabbit is round. rabbit need lion. if someone is round then they see lion. if someone is cold and they do not need rabbit then rabbit is cold. if someone is rough and they do not see rabbit then rabbit eat lion. if rabbit is not cold then rabbit eat lion. if rabbit eat lion then rabbit need lion. if rabbit eat lion then rabbit need lion. if someone eat rabbit then rabbit need lion,The lion chases the mouse. The lion chases the rabbit. The lion is nice. The mouse is nice. The mouse is young. The mouse visits the lion. The rabbit chases the mouse. The rabbit is red. The rabbit visits the squirrel. The squirrel is rough. The squirrel likes the lion. The squirrel likes the mouse. The squirrel likes the rabbit. The squirrel visits the lion. The squirrel visits the mouse. The squirrel visits the rabbit. if someone is nice then they visit the mouse. if the rabbit visits the lion then the rabbit chases the mouse. if someone is big and they visit the squirrel then they are red. if someone is red and they visit the lion then they like the rabbit. if the rabbit likes the lion and the rabbit is nice then the lion is red. if someone likes the lion and the lion likes the rabbit then the rabbit likes the mouse. if someone likes the lion then they like the squirrel. if someone visits the rabbit then the rabbit chases the mouse.,lion visit mouse,Unknown,True
