Base,Question,Base_Answer
Erin is blue. Fiona is blue. Fiona is rough. All blue things are smart. If something is quiet and blue then it is rough. Big things are cold. All cold, blue things are white. All smart things are cold. If Erin is smart then Erin is blue. White things are blue. If something is quiet then it is big.,Erin is blue,True
Anne is cold. Bob is red. Dave is kind. Harry is nice. All kind people are cold. All big people are young. If someone is big then they are young. Cold people are big. If Dave is nice and Dave is not cold then Dave is furry. If Dave is not cold then Dave is red.,Dave is kind,True
Gary is blue. Gary is quiet. Harry is round. Round, nice people are quiet. All quiet people are not furry. All round people are nice.,Gary is green,Unknown
The mouse is big. All big people are cold.,mouse is red,Unknown
The mouse is big. The mouse is cold. The mouse is green. The mouse is kind. The mouse is red. If the mouse is red then the mouse is green. All cold things are big.,mouse is round,Unknown
Fiona is cold. Fiona is kind. Fiona is quiet. Fiona is red. Fiona is not rough. Fiona is round. Fiona is white. If someone is rough and not white then they are quiet. All cold people are quiet. If someone is quiet then they are kind. If someone is quiet and not rough then they are round. If Fiona is cold and Fiona is not quiet then Fiona is round. If Fiona is not quiet then Fiona is kind.,Fiona is big,Unknown
Bob is quiet. Bob is young. Harry is kind. All kind things are blue.,Harry is cold,Unknown
Anne is blue. Anne is furry. Anne is red. Anne is smart. Anne is white. Anne is young. Harry is young. All young people are smart. All furry, blue people are white. Young people are white. Blue people are young. If someone is white and not blue then they are not red. Smart people are red. If someone is red and not white then they are green. If someone is red and young then they are green.,Anne is big,Unknown
Bob is blue. Erin is white. Gary is furry. If Bob is kind then Bob is white. If Erin is kind then Erin is blue. All white people are quiet. If someone is kind and furry then they are quiet. Blue people are kind. All quiet people are white.,Erin is furry,Unknown
Anne is smart. Bob is green. Bob is red. Bob is smart. Dave is cold. Dave is white. Dave is young. All white people are smart. Cold, young people are white. All rough people are white. All white, smart people are rough. If someone is rough and white then they are red. Green, young people are red. If someone is smart then they are green. If someone is white and rough then they are young.,Dave is big,Unknown
