Base,Source,Question,Base_Answer,Expected_Answer
"Erin is blue. Fiona is blue. Fiona is rough. All blue things are smart. If something is quiet and blue then it is rough. Big things are cold. All cold, blue things are white. All smart things are cold. If Erin is smart then Erin is blue. White things are blue. If something is quiet then it is big.","Charlie is furry. Charlie is red. Erin is not kind. Erin is smart. Gary is kind. Gary is red. Gary is young. White things are furry. If something is young then it is furry. Red, blue things are young. All smart, white things are young. All young, furry things are smart. All furry things are blue.",Erin is blue,True,True
Anne is cold. Bob is red. Dave is kind. Harry is nice. All kind people are cold. All big people are young. If someone is big then they are young. Cold people are big. If Dave is nice and Dave is not cold then Dave is furry. If Dave is not cold then Dave is red.,"Bob is young. Erin is quiet. Gary is quiet. Harry is kind. If Gary is cold and Gary is red then Gary is smart. If Erin is red then Erin is nice. All quiet things are kind. All red, quiet things are nice. Kind things are red. If something is quiet then it is smart.",Dave is kind,True,True
"Gary is blue. Gary is quiet. Harry is round. Round, nice people are quiet. All quiet people are not furry. All round people are nice.",Anne is blue. Fiona is rough. If someone is furry then they are kind. If Fiona is white then Fiona is green. All blue people are green.,Gary is green,Unknown,Unknown
The mouse is big. All big people are cold.,The cat is green. All green people are red.,mouse is red,Unknown,True
The mouse is big. The mouse is cold. The mouse is green. The mouse is kind. The mouse is red. If the mouse is red then the mouse is green. All cold things are big.,The cow is big. The cow is red. The cow is round. All big people are round. Red people are nice. If the cow is nice and the cow is red then the cow is kind.,mouse is round,Unknown,True
Fiona is cold. Fiona is kind. Fiona is quiet. Fiona is red. Fiona is not rough. Fiona is round. Fiona is white. If someone is rough and not white then they are quiet. All cold people are quiet. If someone is quiet then they are kind. If someone is quiet and not rough then they are round. If Fiona is cold and Fiona is not quiet then Fiona is round. If Fiona is not quiet then Fiona is kind.,"Bob is rough. Fiona is cold. Fiona is rough. Gary is big. Gary is quiet. Harry is big. Harry is rough. If someone is white and smart then they are furry. All rough people are big. All furry people are white. If someone is quiet and cold then they are white. All furry people are white. If Harry is big then Harry is cold. Big, smart people are quiet. If someone is big then they are smart.",Fiona is big,Unknown,True
Bob is quiet. Bob is young. Harry is kind. All kind things are blue.,Anne is round. Dave is cold. Gary is smart. All smart people are cold.,Harry is cold,Unknown,True
"Anne is blue. Anne is furry. Anne is red. Anne is smart. Anne is white. Anne is young. Harry is young. All young people are smart. All furry, blue people are white. Young people are white. Blue people are young. If someone is white and not blue then they are not red. Smart people are red. If someone is red and not white then they are green. If someone is red and young then they are green.","Bob is rough. Fiona is cold. Fiona is rough. Gary is big. Gary is quiet. Harry is big. Harry is rough. If someone is white and smart then they are furry. All rough people are big. All furry people are white. If someone is quiet and cold then they are white. All furry people are white. If Harry is big then Harry is cold. Big, smart people are quiet. If someone is big then they are smart.",Anne is big,Unknown,True
Bob is blue. Erin is white. Gary is furry. If Bob is kind then Bob is white. If Erin is kind then Erin is blue. All white people are quiet. If someone is kind and furry then they are quiet. Blue people are kind. All quiet people are white.,"Bob is red. Fiona is blue. Fiona is kind. All red things are furry. Quiet, cold things are red. Cold things are furry. If something is furry then it is kind. All kind things are round. If Bob is blue and Bob is red then Bob is round.",Erin is furry,Unknown,True
"Anne is smart. Bob is green. Bob is red. Bob is smart. Dave is cold. Dave is white. Dave is young. All white people are smart. Cold, young people are white. All rough people are white. All white, smart people are rough. If someone is rough and white then they are red. Green, young people are red. If someone is smart then they are green. If someone is white and rough then they are young.","Bob is rough. Fiona is cold. Fiona is rough. Gary is big. Gary is quiet. Harry is big. Harry is rough. If someone is white and smart then they are furry. All rough people are big. All furry people are white. If someone is quiet and cold then they are white. All furry people are white. If Harry is big then Harry is cold. Big, smart people are quiet. If someone is big then they are smart.",Dave is big,Unknown,True
"Charlie is cold. Dave is kind. Gary is green. Gary is kind. Gary is red. Harry is kind. Harry is rough. Rough people are white. If someone is white and cold then they are green. All green people are cold. All cold, red people are rough. If someone is cold then they are big. All rough, green people are red. Big people are red.","Anne is blue. Anne is cold. Anne is green. Anne is rough. Anne is smart. Anne is young. Bob is blue. Bob is cold. Bob is furry. Bob is smart. Charlie is cold. Fiona is cold. Fiona is green. Fiona is rough. Fiona is smart. All smart things are furry. All cold, young things are smart. All furry things are blue.",Gary is furry,Unknown,True
"Bob is cold. Bob is nice. Bob is not red. Charlie is blue. Charlie is red. Charlie is smart. Fiona is cold. Fiona is not kind. Fiona is not red. Harry is red. If Harry is big then Harry is not blue. All nice things are big. All cold, big things are kind. If something is red then it is kind. If Fiona is big and Fiona is kind then Fiona is nice. All kind things are cold. Nice things are cold. If Harry is cold then Harry is nice.","Charlie is green. Charlie is kind. Charlie is nice. Charlie is rough. Erin is kind. Erin is nice. Erin is quiet. Fiona is quiet. Fiona is rough. Harry is smart. All rough, green people are quiet. If someone is green and rough then they are nice. All kind, smart people are green. If Erin is green and Erin is blue then Erin is quiet. All quiet people are smart. All kind people are green. If someone is smart then they are kind. All rough, nice people are blue.",Bob is smart,Unknown,True
Charlie is blue. Charlie is not cold. Charlie is kind. Charlie is rough. Gary is blue. Gary is cold. Harry is not cold. Harry is kind. Harry is nice. Harry is rough. Harry is round. Harry is smart. All round people are nice. If someone is blue then they are round.,Anne is white. Dave is big. Dave is green. Dave is smart. Erin is cold. Erin is green. Harry is white. All cold people are white. If someone is smart and kind then they are round. If someone is big then they are kind. White people are big. All kind people are smart.,Harry is white,Unknown,True
Anne is furry. Anne is green. Anne is red. Anne is round. Dave is furry. Fiona is smart. Harry is round. If someone is red then they are smart. Green people are red. All round people are green.,Anne is blue. Anne is kind. Anne is nice. Anne is young. Erin is not blue. Erin is not furry. Erin is kind. Erin is nice. Erin is quiet. Erin is smart. All kind things are quiet.,Anne is quiet,Unknown,True
"Anne is green. Charlie is furry. Fiona is kind. All green things are round. All white, kind things are furry. All smart things are round.",Anne is blue. Fiona is rough. If someone is furry then they are kind. If Fiona is white then Fiona is green. All blue people are green.,Anne is green,True,True
Bob is not furry. Charlie is quiet. Gary is cold. Gary is furry. Gary is not green. Gary is rough. Harry is cold. Quiet things are white. If something is green and white then it is furry. If something is white and furry then it is cold. All furry things are cold. If something is quiet then it is green. All white things are kind. If something is green and white then it is rough. If Bob is cold then Bob is white.,"Bob is furry. Bob is green. Bob is kind. Bob is nice. Bob is red. Bob is round. Bob is smart. Erin is kind. Erin is nice. Erin is red. Erin is round. Erin is smart. Fiona is furry. Fiona is green. Fiona is nice. If someone is round then they are red. Nice people are smart. All furry people are green. All smart people are nice. Smart, red people are kind. Green people are round.",Gary is green,False,True
"Bob is furry. Bob is white. Fiona is furry. Fiona is white. Gary is furry. Gary is nice. Gary is red. Gary is rough. Gary is smart. Gary is young. If Fiona is smart and Fiona is white then Fiona is rough. If someone is young and red then they are nice. Smart, nice people are young. Young people are nice. If Gary is furry then Gary is white. All smart people are white.",Bob is big. Bob is not furry. Bob is kind. Bob is nice. Bob is not red. Bob is not round. Bob is young. Erin is big. Erin is furry. Erin is not kind. Erin is nice. Erin is red. Erin is round. Erin is young. If something is young and round then it is big. If Bob is nice and Bob is not red then Bob is kind. All kind things are nice.,Gary is nice,True,True
"Anne is blue. Anne is round. Bob is blue. Gary is smart. Harry is nice. Harry is quiet. Harry is red. If Bob is round and Bob is nice then Bob is blue. All smart people are red. All blue, kind people are quiet. If Gary is kind then Gary is red. All red people are round. All smart, nice people are quiet. All quiet, kind people are smart. If someone is round and kind then they are blue. If someone is blue then they are kind.",The squirrel is big. The squirrel is green. The squirrel is nice. The squirrel is rough. The squirrel is not round. If someone is green and not round then they are rough. If someone is rough then they are green. All round people are green. If the squirrel is green and the squirrel is round then the squirrel is rough. If someone is round and not rough then they are not big. All rough people are big. If someone is round and not rough then they are nice. All green people are nice.,Gary is green,Unknown,True
