Base,Question,Base_Answer
dog is blue. dog is cold. dog is green. dog is kind. dog is nice. dog need mouse. mouse eat dog. mouse is blue. mouse is cold. mouse is green. mouse is kind. mouse is nice. mouse like dog. mouse need dog. if someone like dog then dog eat mouse. if someone is nice and they like dog then they like mouse. cold people are nice. if someone like mouse then they are nice. if someone is nice and they need mouse then mouse is blue. if someone like mouse and they are green then mouse eat dog. if someone is blue and they like dog then they like mouse.,Dog eat mouse,True
lion chase rabbit. lion eat rabbit. lion is young. rabbit chase lion. rabbit is blue. rabbit is kind. rabbit is rough. if something chase lion then it eat lion. if something eat lion and it chase lion then it is blue. if something is young and it chase lion then lion chase rabbit. if something chase rabbit then it chase lion.,Cat is big,Unknown
cow eat mouse. cow is big. cow is nice. cow is young. cow need lion. cow need mouse. cow see mouse. lion eat mouse. lion is rough. mouse is big. mouse need squirrel. squirrel eat lion. squirrel eat mouse. squirrel is nice. squirrel is red. if something see mouse then it see lion. if cow see lion then lion is big. if something see lion then lion see mouse.,cow see lion,True
bear is rough. bear like lion. bear see tiger. lion is rough. mouse is green. mouse is young. tiger visit bear. if something is young then it like bear. if something see mouse then mouse see lion. if something like bear then bear see mouse. if bear is rough and bear is young then bear like tiger. if something visit lion and it visit bear then bear see lion. if lion is red then lion is cold.,mouse like bear,True
cat is big. cat is kind. cat visit mouse. mouse eat cat. mouse is not red. mouse like cat. if someone like cat then cat is nice. if someone like cat and they are not red then they eat cat. if mouse like cat and cat does not eat mouse then mouse visit cat. if someone is nice then they like mouse. if someone is kind and they eat cat then they like cat. if mouse like cat and cat like mouse then mouse is not kind.,Cat is nice,True
dave is blue. dave is cold. dave is kind. dave is nice. dave is rough. dave is white. erin is blue. erin is cold. erin is kind. erin is nice. erin is rough. erin is white. if something is rough then it is big. all cold, nice things are white.,dave is big,True
lion eat rabbit. lion is blue. lion is cold. lion is kind. lion is not rough. lion is round. lion need rabbit. lion see rabbit. rabbit eat lion. rabbit is not blue. rabbit is cold. rabbit is kind. rabbit is rough. rabbit is round. rabbit need lion. if someone is round then they see lion. if someone is cold and they do not need rabbit then rabbit is cold. if someone is rough and they do not see rabbit then rabbit eat lion. if rabbit is not cold then rabbit eat lion. if rabbit eat lion then rabbit need lion. if rabbit eat lion then rabbit need lion. if someone eat rabbit then rabbit need lion.,lion see lion,True
cat chase lion. cat chase tiger. cow chase lion. cow is big. cow is young. lion chase cat. lion chase cow. lion chase tiger. lion eat tiger. tiger eat lion. tiger is big. tiger is blue. tiger need cat. if someone eat lion then they need cow. if someone is big then they eat cat. if someone is big and they eat cat then they eat lion. if someone need cow and they are young then cow chase cat. if someone chase cat then they chase cow.,tiger need cow,True
bear chase dog. bear eat dog. bear is blue. bear is cold. bear is kind. bear is nice. bear is red. bear like dog. dog eat bear. dog is cold. dog is nice. if something eat dog then dog like bear. if something eat dog then it chase dog.,Dog like bear,True
anne is kind. anne is nice. anne is white. charlie is nice. gary is kind. harry is young. if someone is young then they are red. all nice people are furry. if gary is white and gary is young then gary is furry. red people are kind. if someone is big then they are nice. if someone is nice and young then they are white. all kind people are big.,harry are red,True
anne is furry. charlie is young. erin is kind. gary is furry. if someone is young then they are white. if charlie is young and charlie is white then charlie is red. if anne is young and anne is white then anne is cold.,charlie are green,Unknown
gary is cold. gary is furry. gary is nice. gary is rough. gary is round. gary is young. if something is young then it is blue. if gary is furry then gary is rough. cold things are round. all young, cold things are blue.,gary is blue,True
cat is big. cat is blue. cat like rabbit. cat like tiger. cat need rabbit. cat need tiger. cat see tiger. rabbit is big. rabbit is cold. rabbit is red. rabbit see tiger. tiger is cold. tiger like rabbit. tiger need rabbit. tiger see cat. if something like rabbit then it see rabbit. if something see tiger and tiger is cold then it is red. if something like rabbit and it see rabbit then rabbit see cat. if something is red then it need rabbit. if something like rabbit then it need rabbit. if something need tiger and tiger like rabbit then it is cold.,cat see rabbit,True
cat is big. cat is blue. cat like rabbit. cat like tiger. cat need rabbit. cat need tiger. cat see tiger. rabbit is big. rabbit is cold. rabbit is red. rabbit see tiger. tiger is cold. tiger like rabbit. tiger need rabbit. tiger see cat. if something like rabbit then it see rabbit. if something see tiger and tiger is cold then it is red. if something like rabbit and it see rabbit then rabbit see cat. if something is red then it need rabbit. if something like rabbit then it need rabbit. if something need tiger and tiger like rabbit then it is cold.,Dog eat lion,Unknown
dave is green. dave is smart. dave is young. erin is young. gary is furry. gary is quiet. gary is young. if someone is quiet then they are smart. if someone is smart and green then they are kind. if someone is quiet and furry then they are not kind. all quiet, round people are not kind. if someone is kind then they are round. all quiet people are round. smart people are young.,gary are smart,True
anne is big. anne is furry. anne is rough. anne is smart. anne is young. bob is kind. bob is smart. bob is young. dave is rough. dave is young. if something is big then it is round. all rough, kind things are furry.,anne is round,True
dog is blue. dog see mouse. dog see squirrel. mouse is blue. mouse need squirrel. mouse see squirrel. squirrel is kind. squirrel see mouse. if something need squirrel then squirrel need mouse. if squirrel see mouse then squirrel need dog. if something need mouse and it see squirrel then squirrel is kind. if something need squirrel and it is blue then squirrel is nice. if something need squirrel and it is blue then it need dog. if something need dog and it is round then dog is nice. if something need dog and it need mouse then dog chase squirrel. all blue, kind things are nice.,Squirrel need mouse,True
