Base,Source,Question,Base_Answer,Expected_Answer
The dog is blue. The rabbit likes the squirrel. The squirrel likes the tiger. The tiger likes the squirrel. If something likes the squirrel then the squirrel chases the rabbit.,Anne is young. Erin is quiet. Gary is young. If someone is quiet then they are young. If someone is smart then they are cold. All cold people are kind.,dog is blue,True,Unknown
The dog is blue. The rabbit likes the squirrel. The squirrel likes the tiger. The tiger likes the squirrel. If something likes the squirrel then the squirrel chases the rabbit.,Anne is young. Erin is quiet. Gary is young. If someone is quiet then they are young. If someone is smart then they are cold. All cold people are kind.,dog is young,Unknown,True
The dog is blue. The rabbit likes the squirrel. The squirrel likes the tiger. The tiger likes the squirrel. If something likes the squirrel then the squirrel chases the rabbit.,Anne is young. Erin is quiet. Gary is young. If someone is quiet then they are young. If someone is smart then they are cold. All cold people are kind.,tiger like squirrel,True,True
Gary is rough. Harry is rough. If Gary is kind and Gary is blue then Gary is not white. If something is green then it is blue. Rough things are kind. If something is smart then it is white. If something is kind and green then it is red. If something is blue then it is rough. If something is rough then it is green. If Harry is kind and Harry is not green then Harry is white.,"Charlie is furry. Dave is not furry. Gary is nice. Harry is blue. If Gary is blue then Gary is not rough. All white people are nice. If someone is rough then they are blue. All big people are not young. If Gary is young then Gary is furry. If someone is blue then they are not rough. All rough, nice people are white. If someone is blue and not white then they are furry.",gary is rough,True,Unknown
Gary is rough. Harry is rough. If Gary is kind and Gary is blue then Gary is not white. If something is green then it is blue. Rough things are kind. If something is smart then it is white. If something is kind and green then it is red. If something is blue then it is rough. If something is rough then it is green. If Harry is kind and Harry is not green then Harry is white.,"Charlie is furry. Dave is not furry. Gary is nice. Harry is blue. If Gary is blue then Gary is not rough. All white people are nice. If someone is rough then they are blue. All big people are not young. If Gary is young then Gary is furry. If someone is blue then they are not rough. All rough, nice people are white. If someone is blue and not white then they are furry.",gary is furry,Unknown,True
Gary is rough. Harry is rough. If Gary is kind and Gary is blue then Gary is not white. If something is green then it is blue. Rough things are kind. If something is smart then it is white. If something is kind and green then it is red. If something is blue then it is rough. If something is rough then it is green. If Harry is kind and Harry is not green then Harry is white.,"Charlie is furry. Dave is not furry. Gary is nice. Harry is blue. If Gary is blue then Gary is not rough. All white people are nice. If someone is rough then they are blue. All big people are not young. If Gary is young then Gary is furry. If someone is blue then they are not rough. All rough, nice people are white. If someone is blue and not white then they are furry.",harry is rough,True,True
The bear is rough. The bear likes the lion. The bear sees the tiger. The lion is rough. The mouse is green. The mouse is young. The tiger visits the bear. If something sees the mouse then the mouse sees the lion. If something likes the bear then the bear sees the mouse. If the bear is rough and the bear is young then the bear likes the tiger. If something visits the lion and it visits the bear then the bear sees the lion. If the lion is red then the lion is cold. If something is young then it likes the bear.,"Anne is kind. Anne is nice. Anne is rough. Erin is green. Erin is kind. Erin is rough. Erin is young. Gary is green. Gary is kind. Gary is nice. Gary is quiet. Gary is rough. Gary is round. Gary is young. Harry is kind. Harry is quiet. Round people are kind. If someone is rough and round then they are green. All quiet, rough people are green. If someone is nice then they are round. Young people are rough. All kind people are nice. If someone is round then they are young.",bear is rough,True,Unknown
The bear is rough. The bear likes the lion. The bear sees the tiger. The lion is rough. The mouse is green. The mouse is young. The tiger visits the bear. If something sees the mouse then the mouse sees the lion. If something likes the bear then the bear sees the mouse. If the bear is rough and the bear is young then the bear likes the tiger. If something visits the lion and it visits the bear then the bear sees the lion. If the lion is red then the lion is cold. If something is young then it likes the bear.,"Anne is kind. Anne is nice. Anne is rough. Erin is green. Erin is kind. Erin is rough. Erin is young. Gary is green. Gary is kind. Gary is nice. Gary is quiet. Gary is rough. Gary is round. Gary is young. Harry is kind. Harry is quiet. Round people are kind. If someone is rough and round then they are green. All quiet, rough people are green. If someone is nice then they are round. Young people are rough. All kind people are nice. If someone is round then they are young.",bear is kind,Unknown,True
The bear is rough. The bear likes the lion. The bear sees the tiger. The lion is rough. The mouse is green. The mouse is young. The tiger visits the bear. If something sees the mouse then the mouse sees the lion. If something likes the bear then the bear sees the mouse. If the bear is rough and the bear is young then the bear likes the tiger. If something visits the lion and it visits the bear then the bear sees the lion. If the lion is red then the lion is cold. If something is young then it likes the bear.,"Anne is kind. Anne is nice. Anne is rough. Erin is green. Erin is kind. Erin is rough. Erin is young. Gary is green. Gary is kind. Gary is nice. Gary is quiet. Gary is rough. Gary is round. Gary is young. Harry is kind. Harry is quiet. Round people are kind. If someone is rough and round then they are green. All quiet, rough people are green. If someone is nice then they are round. Young people are rough. All kind people are nice. If someone is round then they are young.",tiger visit bear,True,True
"Dave is big. Dave is blue. Dave is cold. Dave is kind. Dave is nice. Dave is rough. Dave is white. Erin is big. Erin is blue. Erin is cold. Erin is kind. Erin is nice. Erin is rough. Erin is white. All cold, nice things are white. If something is rough then it is big.","Dave is red. Fiona is not rough. Harry is blue. If someone is cold then they are nice. If someone is smart then they are not nice. All red, rough people are not nice. If someone is red then they are cold. If someone is white then they are blue. If Harry is rough and Harry is not smart then Harry is red.",dave is big,True,Unknown
"Dave is big. Dave is blue. Dave is cold. Dave is kind. Dave is nice. Dave is rough. Dave is white. Erin is big. Erin is blue. Erin is cold. Erin is kind. Erin is nice. Erin is rough. Erin is white. All cold, nice things are white. If something is rough then it is big.","Dave is red. Fiona is not rough. Harry is blue. If someone is cold then they are nice. If someone is smart then they are not nice. All red, rough people are not nice. If someone is red then they are cold. If someone is white then they are blue. If Harry is rough and Harry is not smart then Harry is red.",dave is red,Unknown,True
"Dave is big. Dave is blue. Dave is cold. Dave is kind. Dave is nice. Dave is rough. Dave is white. Erin is big. Erin is blue. Erin is cold. Erin is kind. Erin is nice. Erin is rough. Erin is white. All cold, nice things are white. If something is rough then it is big.","Dave is red. Fiona is not rough. Harry is blue. If someone is cold then they are nice. If someone is smart then they are not nice. All red, rough people are not nice. If someone is red then they are cold. If someone is white then they are blue. If Harry is rough and Harry is not smart then Harry is red.",erin is big,True,True
The bear is red. The bear likes the squirrel. The bear visits the rabbit. The rabbit eats the squirrel. The rabbit is big. The rabbit is cold. The rabbit is round. The squirrel eats the bear. The squirrel likes the rabbit. The squirrel visits the rabbit. If someone eats the bear and the bear is rough then the bear visits the squirrel. If someone is round then they like the squirrel. If someone is big and they eat the rabbit then they like the rabbit. If someone is rough then they eat the bear. If someone visits the bear then they eat the bear. If the squirrel likes the rabbit and the rabbit visits the squirrel then the squirrel is red. If someone visits the squirrel and the squirrel visits the bear then they are cold. If someone is big then they eat the bear.,The mouse is green. The mouse needs the rabbit. The mouse needs the tiger. The mouse visits the rabbit. The rabbit is round. The rabbit needs the tiger. The tiger chases the mouse. The tiger is big. The tiger needs the mouse. The tiger needs the rabbit. The tiger visits the mouse. The tiger visits the rabbit. If something needs the mouse and the mouse visits the rabbit then it is big. If something is young and it chases the rabbit then the rabbit visits the mouse. If something visits the mouse and the mouse visits the rabbit then the mouse chases the rabbit. If something chases the rabbit then it needs the mouse. If something is big and red then it chases the rabbit. If something needs the rabbit and it chases the rabbit then it is red.,bear is red,True,Unknown
The bear is red. The bear likes the squirrel. The bear visits the rabbit. The rabbit eats the squirrel. The rabbit is big. The rabbit is cold. The rabbit is round. The squirrel eats the bear. The squirrel likes the rabbit. The squirrel visits the rabbit. If someone eats the bear and the bear is rough then the bear visits the squirrel. If someone is round then they like the squirrel. If someone is big and they eat the rabbit then they like the rabbit. If someone is rough then they eat the bear. If someone visits the bear then they eat the bear. If the squirrel likes the rabbit and the rabbit visits the squirrel then the squirrel is red. If someone visits the squirrel and the squirrel visits the bear then they are cold. If someone is big then they eat the bear.,The mouse is green. The mouse needs the rabbit. The mouse needs the tiger. The mouse visits the rabbit. The rabbit is round. The rabbit needs the tiger. The tiger chases the mouse. The tiger is big. The tiger needs the mouse. The tiger needs the rabbit. The tiger visits the mouse. The tiger visits the rabbit. If something needs the mouse and the mouse visits the rabbit then it is big. If something is young and it chases the rabbit then the rabbit visits the mouse. If something visits the mouse and the mouse visits the rabbit then the mouse chases the rabbit. If something chases the rabbit then it needs the mouse. If something is big and red then it chases the rabbit. If something needs the rabbit and it chases the rabbit then it is red.,bear is green,Unknown,True
The bear is red. The bear likes the squirrel. The bear visits the rabbit. The rabbit eats the squirrel. The rabbit is big. The rabbit is cold. The rabbit is round. The squirrel eats the bear. The squirrel likes the rabbit. The squirrel visits the rabbit. If someone eats the bear and the bear is rough then the bear visits the squirrel. If someone is round then they like the squirrel. If someone is big and they eat the rabbit then they like the rabbit. If someone is rough then they eat the bear. If someone visits the bear then they eat the bear. If the squirrel likes the rabbit and the rabbit visits the squirrel then the squirrel is red. If someone visits the squirrel and the squirrel visits the bear then they are cold. If someone is big then they eat the bear.,The mouse is green. The mouse needs the rabbit. The mouse needs the tiger. The mouse visits the rabbit. The rabbit is round. The rabbit needs the tiger. The tiger chases the mouse. The tiger is big. The tiger needs the mouse. The tiger needs the rabbit. The tiger visits the mouse. The tiger visits the rabbit. If something needs the mouse and the mouse visits the rabbit then it is big. If something is young and it chases the rabbit then the rabbit visits the mouse. If something visits the mouse and the mouse visits the rabbit then the mouse chases the rabbit. If something chases the rabbit then it needs the mouse. If something is big and red then it chases the rabbit. If something needs the rabbit and it chases the rabbit then it is red.,squirrel eat bear,True,True
"Erin is blue. Fiona is blue. Fiona is rough. All blue things are smart. If something is quiet and blue then it is rough. Big things are cold. All cold, blue things are white. All smart things are cold. If Erin is smart then Erin is blue. White things are blue. If something is quiet then it is big.","Charlie is furry. Charlie is red. Erin is not kind. Erin is smart. Gary is kind. Gary is red. Gary is young. White things are furry. If something is young then it is furry. Red, blue things are young. All smart, white things are young. All young, furry things are smart. All furry things are blue.",erin is blue,True,Unknown
"Erin is blue. Fiona is blue. Fiona is rough. All blue things are smart. If something is quiet and blue then it is rough. Big things are cold. All cold, blue things are white. All smart things are cold. If Erin is smart then Erin is blue. White things are blue. If something is quiet then it is big.","Charlie is furry. Charlie is red. Erin is not kind. Erin is smart. Gary is kind. Gary is red. Gary is young. White things are furry. If something is young then it is furry. Red, blue things are young. All smart, white things are young. All young, furry things are smart. All furry things are blue.",erin is furry,Unknown,True
"Erin is blue. Fiona is blue. Fiona is rough. All blue things are smart. If something is quiet and blue then it is rough. Big things are cold. All cold, blue things are white. All smart things are cold. If Erin is smart then Erin is blue. White things are blue. If something is quiet then it is big.","Charlie is furry. Charlie is red. Erin is not kind. Erin is smart. Gary is kind. Gary is red. Gary is young. White things are furry. If something is young then it is furry. Red, blue things are young. All smart, white things are young. All young, furry things are smart. All furry things are blue.",fiona is blue,True,True
"Dave is cold. Erin is cold. Erin is green. Erin is quiet. Erin is red. Erin is young. Harry is smart. All big, smart things are young. If Erin is cold then Erin is red. If something is smart then it is big. If something is big and young then it is green. Smart, red things are young. Green things are cold. If Erin is big and Erin is cold then Erin is young. If something is young and green then it is cold.",The cat is green. The cat is young. The cat likes the cow. The cat likes the dog. The cow eats the cat. The cow eats the dog. The dog is cold. The dog likes the cat. The dog needs the cat. The dog needs the lion. The lion is cold. The lion needs the cat. If someone likes the cat then they need the dog. If someone eats the dog then they need the cow. If someone needs the dog then the dog is green.,dave is cold,True,Unknown
