Base,Source,Question,Base_Answer,Expected_Answer
The dog eats the mouse. The dog is blue. The dog is cold. The dog is green. The dog is kind. The dog is nice. The dog needs the mouse. The mouse eats the dog. The mouse is blue. The mouse is cold. The mouse is green. The mouse is kind. The mouse is nice. The mouse likes the dog. The mouse needs the dog. If someone likes the dog then the dog eats the mouse. If someone is nice and they like the dog then they like the mouse. Cold people are nice. If someone likes the mouse then they are nice. If someone is kind then they eat the mouse. If someone is nice and they need the mouse then the mouse is blue. If someone likes the mouse and they are green then the mouse eats the dog. If someone is blue and they like the dog then they like the mouse.,The mouse eats the rabbit. The mouse is cold. The mouse is kind. The mouse is red. The mouse is rough. The mouse is round. The mouse sees the rabbit. The mouse visits the rabbit. The rabbit eats the mouse. The rabbit is kind. The rabbit is red. The rabbit is rough. The rabbit is round. The rabbit sees the mouse. The rabbit visits the mouse. If something visits the mouse and the mouse is kind then the mouse eats the rabbit. If something is round then it eats the mouse. If the rabbit sees the mouse and the mouse sees the rabbit then the mouse eats the rabbit. If something eats the mouse then the mouse visits the rabbit. If something sees the mouse then it visits the rabbit. If something sees the mouse then the mouse visits the rabbit. If something is kind then it eats the mouse. All round things are kind.,dog eat mouse,True,True
The dog eats the mouse. The dog is blue. The dog is cold. The dog is green. The dog is kind. The dog is nice. The dog needs the mouse. The mouse eats the dog. The mouse is blue. The mouse is cold. The mouse is green. The mouse is kind. The mouse is nice. The mouse likes the dog. The mouse needs the dog. If someone likes the dog then the dog eats the mouse. If someone is nice and they like the dog then they like the mouse. Cold people are nice. If someone likes the mouse then they are nice. If someone is kind then they eat the mouse. If someone is nice and they need the mouse then the mouse is blue. If someone likes the mouse and they are green then the mouse eats the dog. If someone is blue and they like the dog then they like the mouse.,The mouse eats the rabbit. The mouse is cold. The mouse is kind. The mouse is red. The mouse is rough. The mouse is round. The mouse sees the rabbit. The mouse visits the rabbit. The rabbit eats the mouse. The rabbit is kind. The rabbit is red. The rabbit is rough. The rabbit is round. The rabbit sees the mouse. The rabbit visits the mouse. If something visits the mouse and the mouse is kind then the mouse eats the rabbit. If something is round then it eats the mouse. If the rabbit sees the mouse and the mouse sees the rabbit then the mouse eats the rabbit. If something eats the mouse then the mouse visits the rabbit. If something sees the mouse then it visits the rabbit. If something sees the mouse then the mouse visits the rabbit. If something is kind then it eats the mouse. All round things are kind.,mouse eat rabbit,Unknown,True
The dog eats the mouse. The dog is blue. The dog is cold. The dog is green. The dog is kind. The dog is nice. The dog needs the mouse. The mouse eats the dog. The mouse is blue. The mouse is cold. The mouse is green. The mouse is kind. The mouse is nice. The mouse likes the dog. The mouse needs the dog. If someone likes the dog then the dog eats the mouse. If someone is nice and they like the dog then they like the mouse. Cold people are nice. If someone likes the mouse then they are nice. If someone is kind then they eat the mouse. If someone is nice and they need the mouse then the mouse is blue. If someone likes the mouse and they are green then the mouse eats the dog. If someone is blue and they like the dog then they like the mouse.,The mouse eats the rabbit. The mouse is cold. The mouse is kind. The mouse is red. The mouse is rough. The mouse is round. The mouse sees the rabbit. The mouse visits the rabbit. The rabbit eats the mouse. The rabbit is kind. The rabbit is red. The rabbit is rough. The rabbit is round. The rabbit sees the mouse. The rabbit visits the mouse. If something visits the mouse and the mouse is kind then the mouse eats the rabbit. If something is round then it eats the mouse. If the rabbit sees the mouse and the mouse sees the rabbit then the mouse eats the rabbit. If something eats the mouse then the mouse visits the rabbit. If something sees the mouse then it visits the rabbit. If something sees the mouse then the mouse visits the rabbit. If something is kind then it eats the mouse. All round things are kind.,dog is blue,True,True
The dog is blue. The rabbit likes the squirrel. The squirrel likes the tiger. The tiger likes the squirrel. If something likes the squirrel then the squirrel chases the rabbit.,Anne is young. Erin is quiet. Gary is young. If someone is quiet then they are young. If someone is smart then they are cold. All cold people are kind.,dog is blue,True,Unknown
The dog is blue. The rabbit likes the squirrel. The squirrel likes the tiger. The tiger likes the squirrel. If something likes the squirrel then the squirrel chases the rabbit.,Anne is young. Erin is quiet. Gary is young. If someone is quiet then they are young. If someone is smart then they are cold. All cold people are kind.,anne is young,Unknown,True
The dog is blue. The rabbit likes the squirrel. The squirrel likes the tiger. The tiger likes the squirrel. If something likes the squirrel then the squirrel chases the rabbit.,Anne is young. Erin is quiet. Gary is young. If someone is quiet then they are young. If someone is smart then they are cold. All cold people are kind.,tiger like squirrel,True,True
Gary is rough. Harry is rough. If Gary is kind and Gary is blue then Gary is not white. If something is green then it is blue. Rough things are kind. If something is smart then it is white. If something is kind and green then it is red. If something is blue then it is rough. If something is rough then it is green. If Harry is kind and Harry is not green then Harry is white.,"Charlie is furry. Dave is not furry. Gary is nice. Harry is blue. If Gary is blue then Gary is not rough. All white people are nice. If someone is rough then they are blue. All big people are not young. If Gary is young then Gary is furry. If someone is blue then they are not rough. All rough, nice people are white. If someone is blue and not white then they are furry.",gary is rough,True,Unknown
Gary is rough. Harry is rough. If Gary is kind and Gary is blue then Gary is not white. If something is green then it is blue. Rough things are kind. If something is smart then it is white. If something is kind and green then it is red. If something is blue then it is rough. If something is rough then it is green. If Harry is kind and Harry is not green then Harry is white.,"Charlie is furry. Dave is not furry. Gary is nice. Harry is blue. If Gary is blue then Gary is not rough. All white people are nice. If someone is rough then they are blue. All big people are not young. If Gary is young then Gary is furry. If someone is blue then they are not rough. All rough, nice people are white. If someone is blue and not white then they are furry.",charlie is furry,Unknown,True
Gary is rough. Harry is rough. If Gary is kind and Gary is blue then Gary is not white. If something is green then it is blue. Rough things are kind. If something is smart then it is white. If something is kind and green then it is red. If something is blue then it is rough. If something is rough then it is green. If Harry is kind and Harry is not green then Harry is white.,"Charlie is furry. Dave is not furry. Gary is nice. Harry is blue. If Gary is blue then Gary is not rough. All white people are nice. If someone is rough then they are blue. All big people are not young. If Gary is young then Gary is furry. If someone is blue then they are not rough. All rough, nice people are white. If someone is blue and not white then they are furry.",harry is rough,True,True
The lion chases the rabbit. The lion eats the rabbit. The lion is young. The rabbit chases the lion. The rabbit is blue. The rabbit is kind. The rabbit is rough. If something eats the lion and it chases the lion then it is blue. If something is rough and it needs the rabbit then it eats the lion. If something chases the lion then it eats the lion. If something eats the lion and it needs the rabbit then the rabbit eats the lion. If something is young and it chases the lion then the lion chases the rabbit. If something chases the rabbit then it chases the lion.,The cat needs the cow. The cow does not need the cat. The cow visits the cat. If something visits the cat then the cat is not big. If something visits the cat and it likes the cat then the cat does not like the cow. If something likes the cat and the cat is big then the cat likes the cow. If something is young then it needs the cow. If something needs the cow then it does not like the cat. If something needs the cow then it does not like the cat. If something needs the cow and it is not big then it needs the cat. If something needs the cat then it visits the cow.,lion chase rabbit,True,Unknown
